"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.763747804E2,6.501578308E1,2.551832210E1,1.981062745E1,1.212600161E0,1.695405855E2,3.326122343E0,4.151477315E0
1.773747625E2,6.501577491E1,2.551832367E1,1.995716743E1,9.748605532E-1,1.775397152E2,3.429065161E0,4.096802459E0
1.783747442E2,6.501575995E1,2.551832624E1,2.004048268E1,1.133137219E0,1.807912616E2,3.507082344E0,4.270224092E0
1.793747259E2,6.501574822E1,2.551833147E1,2.090175241E1,1.118783730E0,1.768715923E2,3.551948766E0,4.740864692E0
1.803747079E2,6.501573494E1,2.551833639E1,2.091485313E1,1.149749828E0,1.791009549E2,3.598175123E0,4.728311959E0
1.813746903E2,6.501572456E1,2.551834697E1,2.058701812E1,9.430540936E-1,1.698212336E2,3.650000212E0,4.580144955E0
1.823746719E2,6.501572049E1,2.551835198E1,2.035456019E1,5.738473450E-1,1.685133905E2,3.724477993E0,4.449088945E0
1.833746527E2,6.501571825E1,2.551834856E1,2.015101116E1,2.768517583E-1,1.974926943E2,3.762067747E0,4.141051732E0
1.843746346E2,6.501570301E1,2.551834295E1,1.977676177E1,8.093080343E-1,1.977705504E2,3.822386070E0,4.197164705E0
1.853746166E2,6.501569955E1,2.551833449E1,2.033658130E1,6.282345396E-1,2.095342791E2,3.899421687E0,4.250327228E0
1.863745975E2,6.501569807E1,2.551832762E1,2.079532809E1,4.091947058E-1,2.233403299E2,3.868857744E0,4.152773921E0
