"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.079071250E0,1.074246367E0,-3.871388859E-1,-2.133457203E0
2.089117250E0,9.640333682E-1,-3.815436852E-1,-1.969659151E0
2.099163250E0,1.002854787E0,-5.069009721E-1,-1.764041812E0
2.109209250E0,1.226545869E0,-3.179312414E-1,-1.494839512E0
2.119254250E0,1.307947005E0,-9.651443392E-2,-1.092436470E0
2.129300250E0,1.098172296E0,-2.637181967E-2,-8.949426681E-1
2.139346250E0,8.954183391E-1,4.492123425E-3,-1.028412967E0
2.149391250E0,1.083580569E0,1.268386790E-1,-9.890612054E-1
2.159437250E0,1.333628853E0,1.437444413E-1,-8.278780282E-1
2.169483250E0,1.491908303E0,3.733447194E-4,-6.281424040E-1
2.179529250E0,1.497355569E0,-1.716540787E-1,-3.755947280E-1
2.189574250E0,1.493540553E0,-2.135601962E-1,-1.870670468E-1
2.199620250E0,1.419974394E0,-2.181061140E-1,-6.390421987E-2
2.209666250E0,1.299427612E0,-3.199520391E-1,1.287954497E-1
2.219712250E0,1.299073563E0,-4.616958556E-1,4.080245554E-1
2.229757250E0,1.149381918E0,-5.258313328E-1,5.386016518E-1
2.239803250E0,8.072148451E-1,-4.728467882E-1,5.417749357E-1
2.249849250E0,5.457986972E-1,-4.793012372E-1,6.097067177E-1
2.259894250E0,3.747319713E-1,-4.250156870E-1,6.603248942E-1
2.269940250E0,1.820147601E-1,-4.159501639E-1,5.446979588E-1
2.279986250E0,3.942631334E-2,-3.318730500E-1,2.811540091E-1
2.290032250E0,-2.578163096E-1,-3.740908241E-1,6.192610681E-2
2.300077250E0,-7.791248211E-1,-4.723056284E-1,3.010731339E-2
2.310123250E0,-1.197959709E0,-3.895011610E-1,1.670286387E-1
2.320169250E0,-1.302336017E0,-2.871705016E-1,1.893784511E-1
2.330215250E0,-1.223452692E0,-3.183615965E-1,1.089201790E-1
2.340260250E0,-1.011709518E0,-3.447111967E-1,-5.437969029E-2
2.350306250E0,-7.440926903E-1,-2.943821651E-1,-3.028378236E-1
2.360352250E0,-5.246936108E-1,-2.971484828E-1,-4.453806621E-1
2.370398250E0,-5.737163745E-1,-2.923803708E-1,-6.241996264E-1
2.380443250E0,-7.151106736E-1,-1.511595878E-1,-6.729782689E-1
2.390489250E0,-7.277728191E-1,1.555213183E-2,-6.220408344E-1
2.400535250E0,-8.040789834E-1,5.013490409E-2,-6.773788834E-1
2.410580250E0,-1.159414571E0,-5.329737067E-4,-6.598027378E-1
2.420626250E0,-1.100045598E0,1.210870653E-1,-5.766646868E-1
2.430672250E0,-9.494550902E-1,1.795682850E-1,-5.195110774E-1
2.440718250E0,-1.095311107E0,1.895418808E-1,-3.604884464E-1
2.450763250E0,-1.365301612E0,2.655942759E-1,-3.372375780E-1
2.460809250E0,-1.439679219E0,3.370475435E-1,-3.845982707E-1
2.470855250E0,-1.702360412E0,2.815472344E-1,-2.848751771E-1
2.480901250E0,-2.012358005E0,1.882756662E-1,-1.324347568E-1
2.490946250E0,-2.039961102E0,1.134763294E-1,-3.533647835E-2
2.500992250E0,-1.918730633E0,3.066543013E-2,-1.601891506E-1
2.511038250E0,-1.862556433E0,-5.218347609E-2,-3.432882768E-1
2.521083250E0,-1.772970365E0,-1.475176495E-1,-3.516334230E-1
2.531129250E0,-1.769152133E0,-1.528073332E-1,-5.259213799E-1
2.541175250E0,-1.718518169E0,-1.844650358E-2,-7.543995774E-1
2.551221250E0,-1.607125348E0,-1.754895598E-2,-8.386965466E-1
2.561266250E0,-1.715462852E0,-2.108754471E-1,-7.560180867E-1
2.571312250E0,-1.821188259E0,-3.374170876E-1,-6.074836063E-1
2.581358250E0,-1.859706646E0,-3.227888158E-1,-4.917449892E-1
2.591404250E0,-1.835769022E0,-3.240380734E-1,-3.474444777E-1
2.601449250E0,-1.597964808E0,-4.231130031E-1,-2.988330656E-1
2.611495250E0,-1.254671853E0,-5.219353330E-1,-3.723851913E-1
2.621541250E0,-9.004080606E-1,-5.393436635E-1,-4.087689060E-1
2.631587250E0,-6.116035545E-1,-3.794328403E-1,-4.828227228E-1
2.641632250E0,-4.621259183E-1,-1.327545995E-1,-4.983418179E-1
2.651678250E0,-4.235784414E-1,6.383785397E-2,-4.857551014E-1
2.661724250E0,-4.163764259E-1,2.475272566E-1,-4.256521565E-1
2.671769250E0,-6.488848168E-1,3.775973994E-1,-2.119989896E-1
2.681815250E0,-1.126715041E0,5.138346004E-1,1.271114516E-1
2.691861250E0,-1.322798348E0,7.779366669E-1,4.226700765E-1
2.701907250E0,-1.424345919E0,9.227964646E-1,7.206167042E-1
2.711952250E0,-1.362217791E0,9.181131372E-1,9.861475378E-1
2.721998250E0,-1.054849398E0,7.599292892E-1,1.129608974E0
2.732044250E0,-7.315667850E-1,4.586529645E-1,1.271429681E0
2.742090250E0,-5.965772335E-1,2.140294352E-1,1.573246581E0
2.752135250E0,-3.009922962E-1,1.669119868E-1,1.806144689E0
2.762181250E0,1.169852436E-1,1.336267117E-1,1.809005147E0
2.772227250E0,5.445270739E-1,2.287255347E-2,1.577808579E0
2.782273250E0,9.227691288E-1,-4.015458405E-2,1.195941542E0
2.792318250E0,1.083379425E0,-7.002333105E-2,7.609741867E-1
2.802364250E0,1.042321592E0,-3.086277366E-2,4.529112911E-1
2.812410250E0,9.984978805E-1,-5.542575717E-3,1.736634743E-1
2.822455250E0,1.046982554E0,-5.894870460E-3,-1.083091450E-1
2.832501250E0,1.156859484E0,-1.266346112E-1,-3.428947592E-1
2.842547625E0,1.231113129E0,-2.790718156E-1,-4.259544575E-1
2.852593625E0,1.197692491E0,-4.288710487E-1,-3.555346853E-1
2.862638625E0,1.327190191E0,-4.259068027E-1,-1.877178419E-1
2.872684625E0,1.446122119E0,-3.448544535E-1,5.589002609E-2
2.882730625E0,1.382740494E0,-4.451377103E-1,2.181859285E-1
2.892776625E0,1.307224435E0,-5.561585015E-1,3.409166461E-1
2.902821625E0,1.283915095E0,-6.014068875E-1,4.512150139E-1
2.912867625E0,8.100658013E-1,-7.653976053E-1,6.414383876E-1
2.922913625E0,7.136745974E-2,-8.306914160E-1,7.387617838E-1
2.932959625E0,-1.455795899E-1,-6.148920286E-1,6.861000055E-1
2.943004625E0,-1.342813075E-3,-4.843929926E-1,4.783835167E-1
2.953050625E0,2.019379780E-1,-4.642224374E-1,1.504792643E-1
2.963096625E0,4.072645636E-1,-4.340130901E-1,-1.254204369E-1
2.973141625E0,6.648252037E-1,-3.612178865E-1,-2.646671999E-1
2.983187625E0,9.258039799E-1,-3.397711766E-1,-4.534650224E-1
2.993233625E0,1.177453377E0,-3.408926725E-1,-5.891888380E-1
3.003279625E0,1.198571620E0,-4.562936130E-1,-5.063969421E-1
3.013324625E0,1.092894307E0,-5.753771299E-1,-3.400190985E-1
3.023370625E0,9.265565166E-1,-6.416345617E-1,-2.134198630E-1
3.033416625E0,6.017170823E-1,-7.907140025E-1,-5.114384115E-2
3.043462625E0,3.501220639E-1,-8.350049070E-1,1.351455259E-1
3.053507625E0,2.409200491E-1,-7.915726662E-1,1.086927223E-1
3.063553625E0,3.895643109E-1,-8.278794900E-1,-1.392268825E-1
3.073599625E0,6.589423200E-1,-9.483186838E-1,-4.243184066E-1
3.083645625E0,7.992987384E-1,-1.133632443E0,-6.777571982E-1
3.093690625E0,9.948921950E-1,-1.203657528E0,-7.772528350E-1
3.103736625E0,1.139827568E0,-1.269170902E0,-6.082542694E-1
3.113782625E0,1.304755741E0,-1.322120948E0,-4.180665636E-1
3.123827625E0,1.357839542E0,-1.347841095E0,-2.815557128E-1
3.133873625E0,1.403445046E0,-1.298475977E0,-2.353007287E-1
3.143919625E0,1.425128422E0,-1.159306982E0,-2.024136490E-1
3.153965625E0,1.468962221E0,-1.013933799E0,-9.937109113E-2
3.164010625E0,1.448185017E0,-9.641944590E-1,-2.669721723E-2
3.174056625E0,1.391309296E0,-9.091718674E-1,-2.606337905E-2
3.184102625E0,1.355577693E0,-7.240595448E-1,-2.187911153E-2
3.194148625E0,1.036610178E0,-6.098882738E-1,1.866197348E-2
3.204193625E0,7.040769777E-1,-4.737648010E-1,1.104480565E-1
3.214239625E0,5.308808421E-1,-3.561889887E-1,1.284984112E-1
3.224285625E0,3.508539891E-1,-3.036795303E-1,8.347602010E-2
3.234330625E0,2.798715685E-1,-2.146881241E-1,9.175567746E-2
3.244376625E0,2.657008414E-1,-1.948385811E-1,1.081664729E-1
3.254422625E0,4.140357855E-1,-1.566179636E-1,1.930633664E-2
3.264468625E0,6.401234950E-1,-3.916055739E-2,-2.485534430E-2
3.274513625E0,8.988076776E-1,4.130210012E-2,-1.369113851E-1
3.284559625E0,1.096236721E0,8.252175450E-3,-2.985097146E-1
3.294605625E0,1.237635844E0,4.447976947E-2,-3.959851384E-1
3.304651625E0,1.430351009E0,1.830520561E-1,-3.967464459E-1
3.314696625E0,1.601113387E0,2.627738714E-1,-3.941169530E-1
3.324742625E0,1.673286301E0,3.285845760E-1,-3.334275323E-1
3.334788625E0,1.734598450E0,4.160635999E-1,-2.366876882E-1
3.344834625E0,1.688098176E0,4.540412655E-1,-6.092915654E-2
3.354879625E0,1.472188568E0,5.096094024E-1,2.339354038E-1
3.364925625E0,1.212699370E0,6.069661278E-1,5.142941916E-1
3.374971625E0,1.072111841E0,6.549282065E-1,6.233143580E-1
3.385017625E0,8.255620922E-1,7.127595082E-1,7.728136289E-1
3.395062625E0,4.945268020E-1,8.105413261E-1,8.623982352E-1
3.405108625E0,1.351950811E-1,8.126217654E-1,9.772720492E-1
3.415154625E0,-1.017038378E-1,8.517106944E-1,9.682199746E-1
3.425199625E0,-1.736930028E-1,8.903745309E-1,9.422320247E-1
3.435245625E0,-2.402854800E-1,8.365245983E-1,9.849248850E-1
3.445291625E0,-2.626121959E-1,7.830535653E-1,9.989137638E-1
3.455337625E0,-7.990834147E-2,7.888043019E-1,9.528330266E-1
3.465382625E0,1.949971868E-1,7.442540735E-1,9.019932407E-1
3.475428625E0,4.345872867E-1,6.960461193E-1,8.237738675E-1
3.485474625E0,5.367621177E-1,6.814219406E-1,7.850600374E-1
3.495520625E0,6.662723896E-1,7.139903471E-1,7.205377668E-1
3.505565625E0,6.992003998E-1,6.978476465E-1,6.321214342E-1
3.515611625E0,6.719007732E-1,8.090295285E-1,5.630821896E-1
3.525657625E0,7.891833477E-1,9.446983802E-1,4.063762254E-1
3.535703625E0,8.873538592E-1,9.188072017E-1,1.745101511E-1
3.545748625E0,9.775927690E-1,8.536870533E-1,-5.696182072E-2
3.555794625E0,9.974116141E-1,8.062483004E-1,-1.721443677E-1
3.565840625E0,9.052726516E-1,7.017749289E-1,-1.926096225E-1
3.575885625E0,8.269550452E-1,6.055902779E-1,-1.214659649E-1
3.585931625E0,7.866294301E-1,4.952337304E-1,6.027309895E-3
3.595977625E0,8.101846460E-1,4.387063578E-1,1.246369100E-1
3.606023625E0,8.831435716E-1,4.335958913E-1,2.184531462E-1
3.616068625E0,8.889045408E-1,4.236319435E-1,3.394203436E-1
3.626114625E0,7.494329524E-1,3.832525340E-1,4.340043193E-1
3.636160625E0,5.659230593E-1,4.250917009E-1,4.317817926E-1
3.646206625E0,5.423073247E-1,4.728011799E-1,4.063101518E-1
3.656251625E0,7.431928039E-1,5.167722416E-1,3.371720892E-1
3.666297625E0,1.014356260E0,4.977448171E-1,2.824374729E-1
3.676343625E0,1.203389726E0,4.443568146E-1,3.777973741E-1
3.686389625E0,1.173092670E0,3.541354465E-1,6.851200122E-1
3.696434625E0,1.039215405E0,2.502687237E-1,9.908065993E-1
3.706480625E0,1.001259374E0,7.231924027E-2,1.305977955E0
3.716526625E0,1.052988522E0,-9.101717412E-2,1.578238934E0
3.726571625E0,1.071439995E0,-2.169100660E-1,1.647606207E0
3.736617625E0,8.538817656E-1,-3.437154159E-1,1.709218903E0
3.746663625E0,6.090924677E-1,-3.801593569E-1,1.787863954E0
3.756709625E0,3.546222273E-1,-4.077313176E-1,1.682651494E0
3.766754625E0,9.933074534E-2,-4.074412957E-1,1.394089648E0
3.776800625E0,-1.770262080E-1,-3.939207789E-1,9.767972553E-1
3.786846625E0,-4.581942505E-1,-3.694159752E-1,4.889125979E-1
3.796892625E0,-6.617501530E-1,-2.903104565E-1,-4.150295198E-2
3.806937625E0,-7.086003837E-1,-2.183145672E-1,-5.271335077E-1
3.816983625E0,-6.953614104E-1,-2.016207665E-1,-8.876190305E-1
3.827029625E0,-6.787851387E-1,-2.312304819E-1,-1.100981591E0
3.837075625E0,-6.296167794E-1,-2.360892257E-1,-1.183519133E0
3.847119750E0,-5.720664364E-1,-3.323957911E-1,-1.283739824E0
3.857165750E0,-5.087650645E-1,-4.416232413E-1,-1.296132998E0
3.867211750E0,-5.698731458E-1,-5.237187338E-1,-1.158866102E0
3.877256750E0,-7.438009143E-1,-6.009081200E-1,-9.406333959E-1
3.887302750E0,-9.046119162E-1,-6.558482659E-1,-6.707849783E-1
